Test Name,Mean,Median,Std Dev,25th Percentile,75th Percentile,Min,Max,95% CI Lower,95% CI Upper,Times
CPU Test,0.8125,0.8120,0.0025,0.8104,0.8149,0.8103,0.8163,0.8095,0.8156,"[0.8134232520005753, 0.8102765089997774, 0.8162960389990985, 0.8105885459999627, 0.8120157929997731]"
Memory Test,0.2984,0.2935,0.0111,0.2911,0.3083,0.2903,0.3175,0.2846,0.3123,"[0.2903135239994299, 0.29346178000014334, 0.3174508849997437, 0.29909997300001123, 0.2918301990002874]"
Disk Write Test,16.5013,14.3530,5.3085,13.8214,20.2555,13.5891,25.9758,9.9100,23.0927,"[14.053789432000485, 25.97581302100025, 14.35296210100023, 13.589075892000437, 14.535109508999994]"
Disk Read Test,2.5228,2.1480,0.6904,2.1197,3.1132,2.1056,3.7230,1.6655,3.3800,"[2.105609598999763, 2.148031987999275, 2.5034220830002596, 3.722958904999359, 2.1337506469999425]"
Disk Copy Test,6.9274,5.5408,2.3478,5.1109,9.4370,4.9041,10.0868,4.0122,9.8425,"[4.904108992000147, 5.317756703999294, 5.540820848000294, 8.787284786999408, 10.086788837000313]"
