Test Name,Mean,Median,Std Dev,25th Percentile,75th Percentile,Min,Max,95% CI Lower,95% CI Upper,Times
CPU Test,0.8655,0.8666,0.0419,0.8244,0.9060,0.8234,0.9194,0.8135,0.9175,"[0.9193541490003554, 0.8234249510005611, 0.8253945010001189, 0.86664662000112, 0.8926100530006806]"
Memory Test,0.3895,0.4103,0.0478,0.3498,0.4188,0.3060,0.4199,0.3301,0.4489,"[0.4103089709988126, 0.419914758998857, 0.417677723999077, 0.39359258800141106, 0.30595580200133554]"
Disk Write Test,15.6096,15.6558,0.1495,15.4784,15.7177,15.3663,15.7642,15.4240,15.7952,"[15.655828076000034, 15.366293180000866, 15.764239771000575, 15.590557657000318, 15.671154339001077]"
Disk Read Test,4.0366,4.0359,0.0086,4.0294,4.0442,4.0235,4.0461,4.0260,4.0473,"[4.03532776099928, 4.0460554609999235, 4.023543269000584, 4.042425191999428, 4.035890380000637]"
Disk Copy Test,5.8000,5.7380,0.2239,5.6568,5.9741,5.6522,6.1921,5.5219,6.0780,"[5.661373929000547, 5.738047390999782, 5.652248407001025, 5.756028694999259, 6.192143315000067]"
