Test Name,Mean,Median,Std Dev,25th Percentile,75th Percentile,Min,Max,95% CI Lower,95% CI Upper,Times
CPU Test,0.8121,0.8114,0.0029,0.8101,0.8146,0.8093,0.8170,0.8085,0.8157,"[0.8113759510006275, 0.8170020289999229, 0.8121200830000816, 0.8108188109999901, 0.8093051400001059]"
Memory Test,0.2739,0.2736,0.0006,0.2734,0.2746,0.2734,0.2748,0.2732,0.2747,"[0.2748023700005433, 0.2735281590003069, 0.2736300509995999, 0.27335782800037123, 0.2743746129999636]"
Disk Write Test,13.3124,13.3119,0.0607,13.2523,13.3729,13.2457,13.3794,13.2371,13.3878,"[13.25878282299982, 13.379390731000058, 13.311892084999272, 13.36635834200024, 13.245723154000189]"
Disk Read Test,1.9641,1.9643,0.0021,1.9621,1.9660,1.9612,1.9666,1.9615,1.9667,"[1.9628986279994933, 1.9654586809992907, 1.9665917749998698, 1.964256696999655, 1.96122481600014]"
Disk Copy Test,2.9783,2.9689,0.0225,2.9599,3.0014,2.9533,3.0088,2.9503,3.0063,"[2.9664546750000227, 2.9939373840006738, 3.008841828000186, 2.968882138000481, 2.953260510999826]"
