Test Name,Mean,Median,Std Dev,25th Percentile,75th Percentile,Min,Max,95% CI Lower,95% CI Upper,Times
CPU Test,0.8296,0.8296,0.0006,0.8291,0.8301,0.8287,0.8302,0.8289,0.8303,"[0.8296324800003276, 0.8296173910002835, 0.8301927940001406, 0.8286707200004457, 0.829929008000363]"
Memory Test,0.3076,0.3056,0.0048,0.3043,0.3119,0.3037,0.3157,0.3016,0.3136,"[0.31568907699966076, 0.3082020989995726, 0.30481403500016313, 0.3055528949998916, 0.3036863130000711]"
Disk Write Test,23.5110,22.8514,2.0018,21.7966,25.5553,21.3143,26.2230,21.0255,25.9966,"[21.314329906999774, 22.278871907000394, 26.2230364119996, 22.851362219999828, 24.88748948600005]"
Disk Read Test,2.1496,2.1316,0.0372,2.1303,2.1778,2.1294,2.2157,2.1034,2.1957,"[2.1294171370000186, 2.1315958659997705, 2.1311698040008196, 2.1399527300000045, 2.215679603999888]"
Disk Copy Test,6.1444,5.4014,2.0206,5.0404,7.6198,4.9820,9.7389,3.6355,8.6533,"[4.981981515000371, 5.5007442460000675, 5.098886855999808, 5.401428770000166, 9.738899049999418]"
