Test Name,Mean,Median,Std Dev,25th Percentile,75th Percentile,Min,Max,95% CI Lower,95% CI Upper,Times
CPU Test,0.8367,0.8350,0.0028,0.8345,0.8398,0.8342,0.8398,0.8332,0.8403,"[0.8398361830004433, 0.8350461080008245, 0.8397971480007982, 0.8341578540002956, 0.8348443679988122]"
Memory Test,0.2845,0.2849,0.0010,0.2837,0.2852,0.2829,0.2854,0.2833,0.2857,"[0.284453737000149, 0.28535784099949524, 0.2828581720004877, 0.28501521500038507, 0.28491198099982284]"
Disk Write Test,13.3273,13.3402,0.0760,13.2557,13.3923,13.2247,13.4262,13.2329,13.4216,"[13.35846560400023, 13.426204441999289, 13.224715574999209, 13.340162361999319, 13.286740507999639]"
Disk Read Test,1.9242,1.9235,0.0035,1.9216,1.9270,1.9203,1.9299,1.9198,1.9286,"[1.9299303489988233, 1.9229896520009788, 1.9234930410002562, 1.9240668419988651, 1.9202737049999996]"
Disk Copy Test,2.9661,2.9752,0.0259,2.9408,2.9867,2.9278,2.9948,2.9339,2.9982,"[2.994807877999847, 2.975192863999837, 2.9538184560005902, 2.9786862050004856, 2.9277634999998554]"
